DATE,TNWBSHNO
1945-10-01,802.37
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,880.34
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,978.16
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,1030.03
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,1070.99
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,1162.45
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,1271.28
1952-01-01,1289.24
1952-04-01,1311.10
1952-07-01,1324.32
1952-10-01,1328.01
1953-01-01,1338.18
1953-04-01,1340.07
1953-07-01,1354.59
1953-10-01,1375.26
1954-01-01,1397.94
1954-04-01,1418.74
1954-07-01,1455.29
1954-10-01,1471.90
1955-01-01,1494.08
1955-04-01,1528.95
1955-07-01,1567.82
1955-10-01,1587.42
1956-01-01,1630.34
1956-04-01,1639.92
1956-07-01,1658.12
1956-10-01,1696.12
1957-01-01,1709.13
1957-04-01,1745.76
1957-07-01,1743.91
1957-10-01,1760.62
1958-01-01,1793.74
1958-04-01,1820.69
1958-07-01,1874.57
1958-10-01,1904.07
1959-01-01,1924.19
1959-04-01,1951.40
1959-07-01,1964.00
1959-10-01,1996.71
1960-01-01,2005.54
1960-04-01,2022.41
1960-07-01,2017.43
1960-10-01,2070.26
1961-01-01,2121.09
1961-04-01,2142.80
1961-07-01,2178.64
1961-10-01,2232.91
1962-01-01,2245.98
1962-04-01,2149.78
1962-07-01,2188.54
1962-10-01,2292.24
1963-01-01,2339.00
1963-04-01,2371.25
1963-07-01,2413.22
1963-10-01,2407.14
1964-01-01,2454.36
1964-04-01,2498.77
1964-07-01,2544.50
1964-10-01,2588.05
1965-01-01,2632.76
1965-04-01,2628.90
1965-07-01,2706.53
1965-10-01,2785.84
1966-01-01,2792.93
1966-04-01,2823.69
1966-07-01,2794.62
1966-10-01,2885.32
1967-01-01,2993.23
1967-04-01,3031.83
1967-07-01,3117.46
1967-10-01,3184.39
1968-01-01,3204.79
1968-04-01,3343.53
1968-07-01,3405.94
1968-10-01,3575.54
1969-01-01,3592.82
1969-04-01,3599.73
1969-07-01,3622.37
1969-10-01,3641.97
1970-01-01,3670.74
1970-04-01,3601.37
1970-07-01,3723.68
1970-10-01,3848.13
1971-01-01,4009.09
1971-04-01,4077.80
1971-07-01,4134.65
1971-10-01,4254.07
1972-01-01,4409.83
1972-04-01,4468.98
1972-07-01,4588.63
1972-10-01,4832.11
1973-01-01,4853.95
1973-04-01,4893.28
1973-07-01,5078.41
1973-10-01,5043.45
1974-01-01,5075.08
1974-04-01,5058.80
1974-07-01,5010.90
1974-10-01,5156.89
1975-01-01,5422.87
1975-04-01,5654.02
1975-07-01,5631.60
1975-10-01,5795.38
1976-01-01,6001.56
1976-04-01,6176.43
1976-07-01,6287.57
1976-10-01,6450.64
